            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2456293.500000000, A.D. 2013-Jan-01 00:00:00.0000, -2.712311750453984E+07,  1.442452249801158E+08, -1.024866474658996E+04, -2.975221878384466E+01, -5.557630236369245E+00,  1.166327379031884E-05,
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000, -2.612041631491084E+07,  1.444031738354951E+08, -1.871044819188863E+04, -2.979757010794373E+01, -5.427819993111533E+00, -6.478170267973926E-04,
2457023.500000000, A.D. 2015-Jan-01 00:00:00.0000, -2.518093251638549E+07,  1.447275911904243E+08, -2.498037967318296E+04, -2.980233994481607E+01, -5.296316724451500E+00,  9.984795912598710E-04,
2457388.500000000, A.D. 2016-Jan-01 00:00:00.0000, -2.438787875406239E+07,  1.451805948074916E+08, -2.925187888447195E+04, -2.983963895034541E+01, -5.140928316103802E+00, -7.676861770451460E-04,
2457754.500000000, A.D. 2017-Jan-01 00:00:00.0000, -2.636334964502048E+07,  1.452193717485576E+08, -2.884341217565536E+04, -2.978625055952658E+01, -5.548408871854586E+00,  1.465217303959765E-03,
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -2.594286566500337E+07,  1.456625130721959E+08, -2.366799613461643E+04, -2.979334639785434E+01, -5.411250346397358E+00, -1.940846115162653E-04,
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000, -2.565776021787787E+07,  1.459776792940268E+08, -1.550401880809665E+04, -2.984330712865031E+01, -5.272844547694333E+00,  9.257075114927904E-04,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.545323708273825E+07,  1.460913442868109E+08, -2.726527903765440E+03, -2.986338200235307E+01, -5.165822246700293E+00,  1.135526860257752E-03,
2459215.500000000, A.D. 2021-Jan-01 00:00:00.0000, -2.779038418273609E+07,  1.455313246881248E+08,  8.800740091711283E+03, -2.977742302388713E+01, -5.541990343055767E+00, -8.565662427617582E-05,
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, -2.741136955573772E+07,  1.452697951992370E+08,  1.906202853968740E+04, -2.981801521735298E+01, -5.415519972767931E+00,  1.781058738198116E-03,
2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000, -2.682445497999843E+07,  1.448976158118668E+08,  2.411754826765507E+04, -2.981482351497915E+01, -5.295918950939654E+00, -5.493487133443331E-04,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -2.600287656264521E+07,  1.445601414379387E+08,  2.323406784719974E+04, -2.983302263516006E+01, -5.138481440835742E+00,  1.105058432465444E-03,
2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000, -2.758784301577131E+07,  1.439240041359807E+08,  1.919915474978089E+04, -2.977686364318744E+01, -5.535813374228486E+00, -1.943178897994002E-04,
2461041.500000000, A.D. 2026-Jan-01 00:00:00.0000, -2.653089678195439E+07,  1.439469456090685E+08,  1.079579916187376E+04, -2.977650610534486E+01, -5.395962696979645E+00,  1.754039992545309E-04,
2461406.500000000, A.D. 2027-Jan-01 00:00:00.0000, -2.551168189682565E+07,  1.441666720944481E+08,  3.846162547186017E+03, -2.982015353062236E+01, -5.241396515181219E+00,  8.243798501084143E-04,
2461771.500000000, A.D. 2028-Jan-01 00:00:00.0000, -2.463124165957666E+07,  1.445160469851153E+08, -2.282727635115385E+03, -2.985059324269641E+01, -5.124764644419059E+00, -6.182170173805179E-04,
2462137.500000000, A.D. 2029-Jan-01 00:00:00.0000, -2.648930989701635E+07,  1.444545852097586E+08, -4.761655011795461E+03, -2.976781410909746E+01, -5.499836590389148E+00,  1.689089341242234E-03,
2462502.500000000, A.D. 2030-Jan-01 00:00:00.0000, -2.592626218008646E+07,  1.448369336448700E+08, -3.796271242894232E+03, -2.982040564833548E+01, -5.364759762700047E+00, -4.789540590242058E-04,
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000, -2.549432961795525E+07,  1.450920503438008E+08, -6.715347634479403E+02, -2.983462546651470E+01, -5.254026179763999E+00,  1.328768835838101E-03,
2463232.500000000, A.D. 2032-Jan-01 00:00:00.0000, -2.511069794950441E+07,  1.451800604203914E+08,  5.230233515672386E+03, -2.985311799452370E+01, -5.106169613998374E+00,  7.762461792950592E-04,
2463598.500000000, A.D. 2033-Jan-01 00:00:00.0000, -2.726573452300037E+07,  1.446519806700004E+08,  9.404266919024289E+03, -2.980228478814892E+01, -5.508204150227043E+00,  3.528147203937237E-04,
2463963.500000000, A.D. 2034-Jan-01 00:00:00.0000, -2.670949437857668E+07,  1.444357250221688E+08,  1.156907985947281E+04, -2.979642054533242E+01, -5.384055895093438E+00,  1.492980047239412E-03,
2464328.500000000, A.D. 2035-Jan-01 00:00:00.0000, -2.594296968824122E+07,  1.441768917687061E+08,  8.075660732880235E+03, -2.982359481163897E+01, -5.230037976667111E+00, -5.450752391682467E-04,
2464693.500000000, A.D. 2036-Jan-01 00:00:00.0000, -2.498403589339262E+07,  1.439991617641551E+08,  4.325390283167362E+02, -2.985063204172831E+01, -5.109607319472008E+00,  1.315405636026279E-03,
2465059.500000000, A.D. 2037-Jan-01 00:00:00.0000, -2.647176200732592E+07,  1.435379068398289E+08, -1.025200590774417E+04, -2.975711026969826E+01, -5.485278598530043E+00, -6.488496603993532E-04,
2465424.500000000, A.D. 2038-Jan-01 00:00:00.0000, -2.535668299540802E+07,  1.437759523006318E+08, -2.297095481368899E+04, -2.980367635019491E+01, -5.334280586264107E+00,  7.019151515019750E-04,
2465789.500000000, A.D. 2039-Jan-01 00:00:00.0000, -2.435053176899860E+07,  1.441933354804970E+08, -3.274476641198248E+04, -2.982498404131652E+01, -5.216923102793230E+00,  5.782168013432898E-04,
2466154.500000000, A.D. 2040-Jan-01 00:00:00.0000, -2.351473400088840E+07,  1.447217223418856E+08, -4.073615476191789E+04, -2.984201917901821E+01, -5.064455521754932E+00, -1.614644008678390E-04,
2466520.500000000, A.D. 2041-Jan-01 00:00:00.0000, -2.545741748574810E+07,  1.448464033274489E+08, -4.247667235685140E+04, -2.980364498339242E+01, -5.455099456838980E+00,  1.870788670000678E-03,
2466885.500000000, A.D. 2042-Jan-01 00:00:00.0000, -2.502454524113726E+07,  1.453511895561794E+08, -4.035007478965819E+04, -2.981325137090832E+01, -5.338728992474133E+00, -1.557884706149260E-04,
2467250.500000000, A.D. 2043-Jan-01 00:00:00.0000, -2.471912637638074E+07,  1.457095217830350E+08, -3.386564703840762E+04, -2.984472795658289E+01, -5.189277462574909E+00,  1.953790552130519E-03,
2467615.500000000, A.D. 2044-Jan-01 00:00:00.0000, -2.448490842638338E+07,  1.458765171679208E+08, -2.346976552236080E+04, -2.988397686947727E+01, -5.075806293500554E+00,  6.417283887221181E-04,
2467981.500000000, A.D. 2045-Jan-01 00:00:00.0000, -2.679384497901681E+07,  1.453707089650858E+08, -1.417343411756307E+04, -2.978828994885074E+01, -5.471254282148823E+00,  1.237428152260023E-03,
2468346.500000000, A.D. 2046-Jan-01 00:00:00.0000, -2.636412497624482E+07,  1.451757755301047E+08, -5.676871604517102E+03, -2.982279174552330E+01, -5.323855379394232E+00,  1.388467422609674E-03,
2468711.500000000, A.D. 2047-Jan-01 00:00:00.0000, -2.574359215109277E+07,  1.449068982360130E+08, -2.964545756362379E+03, -2.983980273205302E+01, -5.211530413288608E+00,  1.274247094817937E-05,
2469076.500000000, A.D. 2048-Jan-01 00:00:00.0000, -2.491573549130294E+07,  1.446857960732815E+08, -4.000221899382770E+03, -2.984027353675826E+01, -5.062384891345667E+00,  1.885405392485495E-03,
2469442.500000000, A.D. 2049-Jan-01 00:00:00.0000, -2.652440667776792E+07,  1.441949509657708E+08, -8.101637357436121E+03, -2.979345966166050E+01, -5.438837172592629E+00, -4.117339874503134E-04,
2469807.500000000, A.D. 2050-Jan-01 00:00:00.0000, -2.555288780821967E+07,  1.443459584628034E+08, -1.434671902055293E+04, -2.980297243501996E+01, -5.318822614911143E+00,  1.571338367349462E-03,
2470172.500000000, A.D. 2051-Jan-01 00:00:00.0000, -2.464745829599579E+07,  1.446552422148639E+08, -1.832127612542361E+04, -2.982638909606117E+01, -5.160082012329875E+00,  5.919810306262985E-04,
2470537.500000000, A.D. 2052-Jan-01 00:00:00.0000, -2.390342412033160E+07,  1.450675256824999E+08, -2.054215209599584E+04, -2.987410324537242E+01, -5.033231278648304E+00,  5.735945208180659E-04,
2470903.500000000, A.D. 2053-Jan-01 00:00:00.0000, -2.592050909695117E+07,  1.450244131605256E+08, -1.766421176022291E+04, -2.978887996032644E+01, -5.431862804596671E+00,  1.825491470328844E-03,
2471268.500000000, A.D. 2054-Jan-01 00:00:00.0000, -2.549119852729274E+07,  1.453689769328040E+08, -1.225998051345348E+04, -2.982880168836952E+01, -5.280792400059665E+00,  2.024325767888691E-04,
2471633.500000000, A.D. 2055-Jan-01 00:00:00.0000, -2.517981605798768E+07,  1.455581520778278E+08, -3.413301835887134E+03, -2.986271412717519E+01, -5.172686611993621E+00,  2.337928307573511E-03,
2471998.500000000, A.D. 2056-Jan-01 00:00:00.0000, -2.488661351878245E+07,  1.455391223687521E+08,  6.466971004657447E+03, -2.986434426041119E+01, -5.039913064419065E+00,  4.560753986935229E-04,
2472364.500000000, A.D. 2057-Jan-01 00:00:00.0000, -2.707657053454901E+07,  1.449020007190443E+08,  1.420267058240622E+04, -2.981250599000249E+01, -5.420058232116983E+00,  1.876671669257535E-03,
2472729.500000000, A.D. 2058-Jan-01 00:00:00.0000, -2.652742350881470E+07,  1.445820620817782E+08,  1.874474229843915E+04, -2.981983344173787E+01, -5.310967526616705E+00,  1.093085877748035E-03,
2473094.500000000, A.D. 2059-Jan-01 00:00:00.0000, -2.573118352207769E+07,  1.442290500579221E+08,  1.603303717388213E+04, -2.982534943746655E+01, -5.157321175862887E+00,  3.813879581027191E-04,
2473459.500000000, A.D. 2060-Jan-01 00:00:00.0000, -2.472503612668497E+07,  1.439982378968561E+08,  9.496625609502196E+03, -2.986467790145220E+01, -5.019385987767591E+00,  1.750614055857636E-03,
