            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000,  2.651366065542918E+09,  1.255587819023818E+09,  5.124141349303916E+08, -3.150565135615397E+00,  5.247028702771020E+00,  2.342371939831402E+00,
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  2.545454156357764E+09,  1.417771566933934E+09,  5.849441256277652E+08, -3.564093126719102E+00,  5.034189205782043E+00,  2.255147285217289E+00,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  2.426731532276310E+09,  1.572821107054446E+09,  6.545306777526768E+08, -3.962351584219718E+00,  4.794542992462973E+00,  2.156021825483309E+00,
2459215.500000000, A.D. 2021-Jan-01 00:00:00.0000,  2.295337517118387E+09,  1.720293657449859E+09,  7.209779137267774E+08, -4.344308660369480E+00,  4.528147647627668E+00,  2.044587990387130E+00,
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  2.152570492386969E+09,  1.858571749182830E+09,  7.835590623017406E+08, -4.705853891305672E+00,  4.237146310540221E+00,  1.922279542126714E+00,
2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  1.998730616532497E+09,  1.987287493693218E+09,  8.421087498505294E+08, -5.046220255697571E+00,  3.921854018104233E+00,  1.789056760849584E+00,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.834522336937257E+09,  2.105690737316230E+09,  8.962884454214321E+08, -5.363387702974419E+00,  3.583376166791601E+00,  1.645308671023830E+00,
2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000,  1.660222904623529E+09,  2.213348015872758E+09,  9.459043701545981E+08, -5.655911632784245E+00,  3.221954953884185E+00,  1.491189887187619E+00,
2461041.500000000, A.D. 2026-Jan-01 00:00:00.0000,  1.477615643541296E+09,  2.309001938834636E+09,  9.903806082605264E+08, -5.920357627495203E+00,  2.841034902612356E+00,  1.328277892389828E+00,
2461406.500000000, A.D. 2027-Jan-01 00:00:00.0000,  1.287128668751735E+09,  2.392341471138495E+09,  1.029574890368780E+09, -6.155501664982578E+00,  2.441224229552700E+00,  1.156526877617854E+00,
2461771.500000000, A.D. 2028-Jan-01 00:00:00.0000,  1.089712105274744E+09,  2.462795819682544E+09,  1.063223760927929E+09, -6.359520174197595E+00,  2.024156466085871E+00,  9.766800062015607E-01,
